id,title,cuisine,phone,feature,zipcode,street_addr
2230,Casa Flores, Italian,4084756895,"reservations, goodForGroups, waiterService, caters",94109,1808 California street
2231,Californios," Mexican,Seafood,Salad",4157570994,"reservations, creditCard, applePay, waiterService",94110,3115 22nd street
2232,Lazy Bear, American (New),4158749921,"reservations, creditCard, bikeParking, goodForGroups, waiterService",94110,3416 19th street
2233,Ijji Sushi," Sushi Bars,Japanese",4156587388,"reservations, creditCard, waiterService",94117,252 Divisadero street
2234,Omakase," Sushi Bars,Japanese",4158650633,"reservations, creditCard, bikeParking, waiterService",94103,665 Townsend street
2235,An Japanese Restaurant," Sushi Bars,Japanese",4152924886,"reservations, creditCard, bikeParking, waiterService",94115,22 Peace Plz
2236,jū-ni," Japanese,Sushi Bars",4156559924,"reservations, creditCard, waiterService",94117,1335 Fulton street
2237,Acquerello, Italian,4155675432,"reservations, creditCard, waiterService",94109,1722 Sacramento street
2238,KUSAKABE," Sushi Bars,Japanese",4157570155,"reservations, creditCard, bikeParking, waiterService",94111,584 Washington street
2239,Wako Japanese Restaurant," Japanese,Sushi Bars",4156824875,"reservations, creditCard, bikeParking, waiterService",94118,211 Clement street
2240,Kiss Seafood," Japanese,Sushi Bars,Seafood",4154742866,"reservations, creditCard, bikeParking, waiterService",94115,1700 Laguna street
2241,Gary Danko," American (New),French",4157492060,"reservations, creditCard, goodForGroups, waiterService",94109,800 N Point street
2242,La Folie, French,4157765577,"reservations, creditCard, waiterService",94109,2316 Polk street
2243,EatWith, Supper Clubs,,"reservations, creditCard, bikeParking, goodForGroups, waiterService",94103,
2244,Benu," American (New),Asian Fusion,Wine Bars",4156854860,"reservations, creditCard, goodForGroups, waiterService",94105,22 Hawthorne street
2245,Keiko à Nob Hill," French,American (New)",4158297141,"reservations, creditCard, waiterService",94109,1250 Jones street
2246,Spruce, American (Traditional),4159315100,"reservations, takeout, creditCard, goodForGroups, waiterService, caters",94118,3640 Sacramento street
2247,Jardiniere," French,American (New),Champagne Bars",4158615555,"reservations, creditCard, goodForGroups, waiterService, caters",94102,300 Grove street
2248,Atelier Crenn, French,4154400460,"reservations, creditCard, waiterService",94123,3127 Fillmore street
