id,title,cuisine,phone,feature,zipcode,street_addr
1230,L’ardoise Bistro, French,4154372600,"reservations, creditCard, bikeParking, waiterService",94114,151 Noe street
1231,Anchor Oyster Bar, Seafood,4154313990,"takeout, creditCard, bikeParking, waiterService",94114,579 Castro street
1232,Saru Sushi Bar," Sushi Bars,Japanese",4154004510,"creditCard, applePay, outdoorSeating, waiterService",94114,3856 24th street
1233,Song Tea &amp; Ceramics," Coffee & Tea,Gift Shops",4158852118,"takeout, creditCard, applePay, bikeParking",94115,2120 Sutter street
1234,Sorrel," American (New),Italian",3039312870,"reservations, creditCard, applePay, bikeParking, goodForGroups, waiterService, caters",94107,945 Valencia street
1235,Frances, American (New),4156213870,"reservations, creditCard, bikeParking, waiterService",94114,3870 17th street
1236,Prubechu," Asian Fusion,Seafood",4159523654,"reservations, takeout, creditCard, bikeParking, goodForKids, goodForGroups, waiterService",94110,2847 Mission street
1237,Bistro Central Parc," French,Breakfast & Brunch",4159317272,"reservations, creditCard, bikeParking, goodForGroups, outdoorSeating, waiterService",94117,560 Central avenue
1238,La Ciccia," Seafood,Sardinian",4155508114,"reservations, creditCard, waiterService",94131,291 30th street
1239,Revelry Bistro," French,American (New),Breakfast & Brunch",4152416833,"reservations, takeout, creditCard, bikeParking, goodForGroups, outdoorSeating, waiterService",94102,297 Page street
1240,Liholiho Yacht Club," American (New),Seafood",4154405446,"reservations, creditCard, goodForGroups, waiterService",94109,871 Sutter street
1241,Lolinda," Steakhouses,Argentine,Tapas/Small Plates",4155506970,"reservations, creditCard, bikeParking, goodForGroups, waiterService",94110,2518 Mission street
1242,Nopa," American (New),Modern European",4158648643,"reservations, creditCard, bikeParking, goodForGroups, waiterService",94117,560 Divisadero street
1243,Firefly Restaurant," American (New),Gluten-Free",4158217652,"reservations, creditCard, bikeParking, goodForGroups, waiterService",94114,4288 24th street
1244,Bar Crudo," Seafood,Live/Raw Food",4154090679,"reservations, creditCard, bikeParking, waiterService",94117,655 Divisadero street
1245,State Bird Provisions," Tapas/Small Plates,American (New)",4157951272,"reservations, creditCard, bikeParking, goodForGroups, waiterService",94115,1529 Fillmore street
1246,Espetus Brazilian Steak House," Steakhouses,Brazilian",4155528792,"reservations, creditCard, goodForGroups, waiterService, caters",94102,1686 Market street
1247,Tsubasa Sushi," Sushi Bars,Japanese",4155519688,"reservations, creditCard, goodForGroups, waiterService",94102,429 Gough street
1248,Marianne’s, Lounges,4153216000,"reservations, creditCard, goodForGroups",94103,360 Jessie street
1249,Chapeau!," French,Wine Bars",4157509787,"reservations, creditCard, bikeParking, goodForGroups, waiterService",94118,126 Clement street
1250,The Richmond," Wine Bars,American (New)",4153798988,"reservations, creditCard, goodForGroups, waiterService",94118,615 Balboa street
1251,Koo," Japanese,Sushi Bars",4157317077,"reservations, takeout, creditCard, applePay, bikeParking, goodForGroups, waiterService",94122,408 Irving street
1252,Pläj Scandinavian Restaurant &amp; Bar," Scandinavian,Bars",4152948925,"reservations, creditCard, goodForGroups, waiterService",94102,333 Fulton street
1253,Delfina," Italian,Pizza",4155524055,"reservations, takeout, creditCard, bikeParking, goodForGroups, waiterService, caters",94110,3621 18th street
1254,Heirloom Cafe," Cafes,French,Italian",4158212500,"reservations, creditCard, bikeParking, goodForGroups, waiterService",94110,2500 Folsom street
